kunta_suom,vuosi,asuntokunnat_lkm,asuntovaesto_hlo,asuntokunnan_keskikoko,kulutusyksikoita_keskimaarin,ak_tulo_kaytettavissa_keskiarvo,ak_tulo_kaytettavissa_mediaani
Alaj�rvi,2016,4142,9686,2.34,1.59,37442,32201
Alavieska,2016,1130,2585,2.29,1.56,36587,30940
Alavus,2016,5326,11681,2.19,1.53,35785,29579
Asikkala,2016,4050,8138,2.01,1.45,37106,31071
Askola,2016,2067,4966,2.40,1.61,45200,40721
Aura,2016,1747,3919,2.24,1.54,40204,36736
Akaa,2016,7791,16602,2.13,1.49,37612,31754
Br�nd�,2016,229,461,2.01,1.47,49328,39149
Ecker�,2016,455,908,2.00,1.45,42479,38080
Enonkoski,2016,703,1409,2.00,1.45,34274,29660
Enonteki�,2016,857,1806,2.11,1.50,35247,29847
Espoo,2016,119963,267730,2.23,1.53,53280,41653
Eura,2016,5703,11768,2.06,1.47,38125,32425
Eurajoki,2016,4060,9202,2.27,1.56,43168,37930
Evij�rvi,2016,1108,2480,2.24,1.55,40332,34903
Finstr�m,2016,1129,2557,2.26,1.55,45445,40041
Forssa,2016,9271,16965,1.83,1.37,32794,27179
F�gl�,2016,263,541,2.06,1.48,44631,34596
Geta,2016,227,484,2.13,1.50,39914,37039
Haapaj�rvi,2016,3186,7204,2.26,1.55,35474,30098
Haapavesi,2016,3001,6983,2.33,1.57,35918,31532
Hailuoto,2016,491,974,1.98,1.44,37913,31637
Halsua,2016,524,1188,2.27,1.58,37468,31395
Hamina,2016,10348,20145,1.95,1.42,35769,30527
Hammarland,2016,686,1479,2.16,1.51,43941,38610
Hankasalmi,2016,2425,5032,2.08,1.48,33950,28732
Hanko,2016,4414,8457,1.92,1.41,36568,31347
Harjavalta,2016,3747,7064,1.89,1.39,35274,29553
Hartola,2016,1571,2828,1.80,1.37,30685,25240
Hattula,2016,4233,9546,2.26,1.55,43941,38877
Hausj�rvi,2016,3735,8482,2.27,1.55,42569,37625
Hein�vesi,2016,1828,3401,1.86,1.39,33030,26333
Helsinki,2016,325319,611967,1.88,1.39,43640,32718
Vantaa,2016,101529,214729,2.11,1.49,42454,35887
Hirvensalmi,2016,1182,2239,1.89,1.41,35567,28157
Hollola,2016,10583,23431,2.21,1.53,41359,35849
Honkajoki,2016,829,1731,2.09,1.49,34706,29433
Huittinen,2016,5150,10180,1.98,1.43,35097,29045
Humppila,2016,1126,2315,2.06,1.47,34953,29290
Hyrynsalmi,2016,1226,2342,1.91,1.42,32472,27466
Hyvink��,2016,22564,45370,2.01,1.44,40193,32937
H�meenkyr�,2016,4797,10457,2.18,1.52,38790,33329
H�meenlinna,2016,34189,66528,1.95,1.42,37154,30645
Heinola,2016,10276,18848,1.83,1.38,33575,27979
Ii,2016,3949,9499,2.41,1.60,38729,33883
Iisalmi,2016,10907,21339,1.96,1.42,34940,28828
Iitti,2016,3462,6780,1.96,1.43,35338,29270
Ikaalinen,2016,3525,6973,1.98,1.43,34826,29407
Ilmajoki,2016,5157,12012,2.33,1.58,41296,36649
Ilomantsi,2016,2785,5041,1.81,1.37,31433,26429
Inari,2016,3220,6517,2.02,1.46,37613,31475
Inkoo,2016,2402,5413,2.25,1.55,46520,40882
Isojoki,2016,1016,2018,1.99,1.45,34695,26813
Isokyr�,2016,2161,4661,2.16,1.51,38365,31828
Imatra,2016,14695,26990,1.84,1.37,33914,28414
Janakkala,2016,7789,16427,2.11,1.49,40080,34334
Joensuu,2016,39318,74552,1.90,1.40,33124,26789
Jokioinen,2016,2447,5255,2.15,1.51,39096,33643
Jomala,2016,1899,4695,2.47,1.63,54220,50214
Joroinen,2016,2430,4955,2.04,1.46,36550,30820
Joutsa,2016,2483,4536,1.83,1.37,31831,26122
