kunta_suom,taajama-aste,vakiluku,vakiluvun_muutos_pros,alle15v-osuus,15-64v-osuus,Yli64v-osuus,ruotsinkielistenosuus,ulkomaalaisten_osuus,syntyneiden_enemmyys,muuttovoitto,perheiden_lkm,asuntokunnat_lkm,rivi-pientaloissa_asuntokunnat,vuokraasunnoissa_asuntokunnat,toisenasteensuorittaneet_15v,korkea-asteen_suorittaneet_15v,tyollinen_tyovoima,tyollisyysaste,asuinkunnassa_tyossakayvat,tyottomien_osuus_tyovoimasta,elakelaisten_osuus,huoltosuhde,tyopaikkojen_lkm,alkutuotannon:tyopaikkojen_osuus,jalostuksen_tyopaikkojen_osuus,palvelujen_tyopaikkojen_osuus,vuosikate_eperasukas,lainakanta_eperasukas,opetuskulttuurikayttokustannukset_eperasukas,sotekayttokustannukset_eperasukas
Akaa,88.5,16923,-0.7,18.3,60.2,21.5,0.2,1.5,-39,-136,4692,7791,72.4,20.3,69.0,24.4,6657,68.6,48.3,14.6,26.1,154.2,4510,3.5,34.2,60.8,281.7,3415.6,1637.8,3315.3
Alaj�rvi,60.3,9899,-1.1,17.8,56.6,25.6,0.1,1.8,-25,-103,2714,4142,91.5,16.2,64.1,20.8,3441,65.5,76.6,13.9,32.0,187.7,3389,11.7,26.5,60.2,1015.7,1888.6,2098.9,3406.7
Alavieska,52.1,2639,-1.8,19.7,57.7,22.6,0.3,0.6,-13,-31,676,1130,97.6,19.8,66.6,17.1,980,68.3,49.3,10.8,28.4,169.3,725,25.2,21.4,51.6,514.2,3940.5,1826.4,3918.5
Alavus,59.6,11907,-1.1,17.1,57.2,25.7,0.1,1.1,-30,-118,3215,5326,86.7,20.8,64.0,18.6,4376,68.0,78.3,11.3,31.5,172.1,4470,10.2,21.5,67.0,392.0,3251.8,1741.4,3828.5
Asikkala,64.4,8323,0.4,14.1,55.7,30.1,0.2,1.9,-53,-66,2338,4050,77.7,18.2,66.8,25.5,3063,69.2,48.9,12.0,35.5,171.7,2247,10.2,29.2,58.5,652.2,1804.2,1649.4,3344.2
Askola,53.5,5046,-1.1,21.1,61.4,17.6,3.0,2.0,19,-77,1413,2067,96.8,12.3,67.6,21.6,2238,76.2,32.0,8.7,21.6,125.5,1345,9.0,38.9,50.2,194.8,3284.4,1926.5,2970.9
Aura,69.6,3984,-0.1,20.4,62.1,17.5,0.6,2.3,20,-20,1115,1747,94.5,13.7,66.5,22.4,1781,76.4,30.8,9.6,21.8,123.7,1114,5.7,32.3,59.3,430.5,3333.3,1735.4,2833.8
Br�nd�,0.0,471,0.2,9.8,58.6,31.6,74.1,8.1,-3,-2,122,229,96.1,20.5,61.2,27.8,213,78.6,58.8,5.8,34.2,121.1,136,25.0,14.7,55.1,611.5,566.9,2403.4,1825.9
Ecker�,42.8,928,-0.7,12.9,62.0,25.1,90.3,11.2,-8,-5,276,455,91.2,15.6,55.4,16.0,451,79.6,41.6,5.1,26.7,105.8,266,12.4,13.9,64.3,376.1,682.1,2181.0,2748.9
Enonkoski,39.4,1453,-1.4,12.3,52.2,35.5,0.1,1.7,-17,-10,411,703,95.9,18.6,62.2,18.1,486,65.5,54.7,17.1,40.4,199.0,375,23.5,5.6,67.2,757.1,0.0,1556.8,4079.8
